Competition;Home;Away;Date;Time;HGFT;AGFT;HG1st;AG1st;HG2nd;AG2nd;HGET;AGET;HGP;HGP;Finished;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;HxG;AxG;bet365-H;bet365-D;bet365-A;Betfair_Exch-H;Betfair_Exch-D;Betfair_Exch-A;H-Max;D-Max;A-Max;H-Avg;D-Avg;A-Avg
World Cup 2026;Ecuador;Germany;25.06.2026;21:00;2;1;1;1;1;0;;;;;90 minutes;7;11;3;3;15;10;3;2;3;1;0;0;1,27;0,65;4,33;4,2;1,7;4,6;4,5;1,77;4,7;4,33;1,75;4,25;4,14;1,71
World Cup 2026;Japan;Sweden;26.06.2026;00:00;1;1;0;0;1;1;;;;;90 minutes;8;11;3;5;20;11;2;8;1;2;0;0;1,21;0,64;2,4;3,2;3,1;2,4;3,5;3,3;2,4;3,6;3,4;2,26;3,35;3,13
World Cup 2026;Tunisia;Netherlands;26.06.2026;00:00;1;3;0;2;1;1;;;;;90 minutes;10;20;4;7;11;10;4;6;0;0;0;0;0,62;1,84;21;8;1,14;25;11;1,14;21;12;1,17;16,63;8,56;1,14
World Cup 2026;Paraguay;Australia;26.06.2026;03:00;0;0;0;0;0;0;;;;;90 minutes;7;12;2;5;9;6;1;3;1;1;0;0;0,24;0,55;2,55;2,4;4,1;2,64;2,5;4,4;2,63;2,45;4,33;2,52;2,34;4,1
World Cup 2026;Turkey;USA;26.06.2026;03:00;3;2;2;1;1;1;;;;;90 minutes;9;18;3;7;13;13;2;9;0;1;0;0;3;2,12;3,2;4;2,05;3,25;4,1;2,2;3,6;4;2,1;3,22;3,81;2,04
World Cup 2026;Norway;France;26.06.2026;20:00;1;4;1;3;0;1;;;;;90 minutes;10;18;4;9;9;11;4;5;1;1;0;0;1,7;1,5;7;5,5;1,36;8,2;6;1,39;8;6;1,4;7,02;5,44;1,36
World Cup 2026;Senegal;Iraq;26.06.2026;20:00;5;0;1;0;4;0;;;;;90 minutes;28;6;12;1;10;11;12;3;2;2;0;1;3,01;0,14;1,2;7;12;1,23;8;14,5;1,23;7,5;15;1,2;6,88;13,06
World Cup 2026;Cape Verde;Saudi Arabia;27.06.2026;01:00;0;0;0;0;0;0;;;;;90 minutes;15;7;2;3;10;16;4;2;1;3;0;0;1,39;0,39;2,5;3,3;2,88;2,7;3,6;2,8;2,74;3,5;2,88;2,55;3,29;2,72
World Cup 2026;Uruguay;Spain;27.06.2026;01:00;0;1;0;1;0;0;;;;;90 minutes;5;6;1;1;14;14;1;6;3;1;1;0;0,2;0,86;6;3,6;1,65;6,4;3,75;1,71;6,25;3,75;1,7;5,65;3,59;1,65
World Cup 2026;Egypt;Iran;27.06.2026;04:00;1;1;1;1;0;0;;;;;90 minutes;15;13;3;4;11;16;8;2;3;4;0;0;0,84;1,97;2,63;2,63;3,4;2,68;2,82;3,65;2,7;2,8;3,66;2,58;2,64;3,38
World Cup 2026;New Zealand;Belgium;27.06.2026;04:00;1;5;0;1;1;4;;;;;90 minutes;6;35;2;10;10;7;5;8;2;0;0;0;0,24;3,64;13;8,5;1,17;15,5;9,2;1,2;15;9;1,19;13,28;8,14;1,17
World Cup 2026;Croatia;Ghana;27.06.2026;22:00;2;1;1;0;1;1;;;;;90 minutes;8;6;4;1;9;13;3;2;1;1;0;0;0,42;0,64;1,8;3,1;5,75;1,84;3,3;6,2;1,87;3,35;5,75;1,79;3,16;5,39
World Cup 2026;Panama;England;27.06.2026;22:00;0;2;0;0;0;2;;;;;90 minutes;13;17;2;6;16;13;3;7;2;1;0;0;0,66;1,57;17;8,5;1,14;23;9,4;1,17;20;9,5;1,17;16,53;8,45;1,14
World Cup 2026;Colombia;Portugal;28.06.2026;00:30;0;0;0;0;0;0;;;;;90 minutes;24;13;6;2;12;6;5;2;1;0;0;0;1,7;0,92;4;4;1,8;4,3;4,1;1,89;4;4;1,9;3,83;3,84;1,84
World Cup 2026;D.R. Congo;Uzbekistan;28.06.2026;00:30;3;1;0;1;3;0;;;;;90 minutes;19;3;4;1;6;16;2;4;3;2;0;0;2,17;0,2;1,67;3,8;5,25;1,71;4;5,7;1,68;4;5,5;1,64;3,79;5,23
World Cup 2026;Algeria;Austria;28.06.2026;03:00;3;3;1;1;2;2;;;;;90 minutes;12;10;5;3;3;7;0;3;0;1;0;0;1,67;1,49;3,5;2,05;3,6;3,7;2,14;3,75;3,55;2,15;3,75;3,33;2,09;3,45
World Cup 2026;Jordan;Argentina;28.06.2026;03:00;1;3;0;2;1;1;;;;;90 minutes;5;12;1;4;13;7;2;6;3;0;0;0;0,76;2,13;21;9;1,11;25;9,8;1,16;21;9;1,15;19,03;8,45;1,13
