Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
China,Super League,2026,11/04/2026,12:00,Qingdao West Coast,Liaoning Tieren,1,1,D,,,,2.5,3.33,2.9,2.4,3.23,2.73,2.66,3.4,2.9,2.5,3.3,2.7
China,Super League,2026,11/04/2026,12:35,Henan Songshan Longmen,Shandong Taishan,0,1,A,,,,2.45,3.6,3.6,2.04,3.53,3.17,2.1,3.8,3.7,1.91,3.6,3.6
China,Super League,2026,11/04/2026,12:35,Shanghai Shenhua,Shanghai Port,1,0,H,,,,2.1,4,5,1.74,3.82,4.05,1.78,4.2,4.6,1.68,3.7,5
China,Super League,2026,12/04/2026,12:00,Tianjin Jinmen Tiger,Qingdao Hainiu,1,1,D,,,,2.05,3.55,4,1.97,3.29,3.58,2.06,3.55,4.2,2.05,3.25,3.6
China,Super League,2026,12/04/2026,12:35,Beijing Guoan,Chengdu Rongcheng,1,2,A,,,,2.3,3.7,2.83,2.23,3.57,2.75,2.4,3.8,3.05,2.25,3.7,2.82
China,Super League,2026,12/04/2026,13:00,Shenzhen Xinpengcheng,Yunnan Yukun,3,4,A,,,,2.7,3.8,2.6,2.47,3.54,2.48,2.6,3.9,2.7,2.45,3.8,2.55
China,Super League,2026,17/04/2026,12:00,Qingdao Hainiu,Qingdao West Coast,0,0,D,,,,2.2,3.4,3.2,2.13,3.25,3.1,,,,2.2,3.3,3.2
China,Super League,2026,17/04/2026,12:35,Chongqing Tonglianglong,Shenzhen Xinpengcheng,2,0,H,,,,2.25,3.6,4,2.07,3.18,3.35,,,,2.1,3.1,3
China,Super League,2026,17/04/2026,12:35,Shandong Taishan,Shanghai Port,1,1,D,,,,1.8,4.33,5,1.57,4.08,4.63,,,,1.49,4,4.75
China,Super League,2026,17/04/2026,13:00,Wuhan Three Towns,Chengdu Rongcheng,0,1,A,,,,7.2,5,1.42,6.63,4.58,1.37,,,,7,5,1.35
China,Super League,2026,17/04/2026,13:00,Yunnan Yukun,Tianjin Jinmen Tiger,0,3,A,,,,1.6,4.75,6.33,1.46,4.3,5.63,,,,1.45,4.75,6
China,Super League,2026,17/04/2026,13:00,Zhejiang Professional,Beijing Guoan,0,0,D,,,,2.2,3.6,3.2,2.12,3.52,2.95,,,,2.1,3.6,3.2
China,Super League,2026,18/04/2026,12:00,Dalian Yingbo,Henan Songshan Longmen,2,1,H,,,,2.38,3.4,6,1.82,3.31,4.29,,,,1.68,3.25,6
China,Super League,2026,18/04/2026,13:00,Shanghai Shenhua,Liaoning Tieren,3,1,H,,,,1.43,4.9,7,1.39,4.66,6.3,,,,1.41,4.75,6
China,Super League,2026,21/04/2026,12:00,Shenzhen Xinpengcheng,Beijing Guoan,0,1,A,,,,4,3.8,1.95,3.65,3.65,1.83,,,,4,3.6,1.81
China,Super League,2026,21/04/2026,12:35,Chengdu Rongcheng,Yunnan Yukun,2,1,H,,,,1.46,4.8,6.25,1.43,4.63,5.59,,,,1.42,4.75,6
China,Super League,2026,21/04/2026,12:35,Wuhan Three Towns,Zhejiang Professional,2,0,H,,,,3.1,3.75,2.55,2.62,3.51,2.35,,,,2.65,3.6,2.35
